source,target
1585020,8911342
1585020,5756816
1585020,4294853
1585020,5499347
1585020,4906673
1585020,8111336
1585020,6679786
1585020,6140249
1585020,314400
1585020,3121523
1585669,4835570
1585669,118665
1585669,118411
1585669,5756816
1585669,4294578
1585669,10846589
1585669,2340908
1585497,5079993
1585497,5546941
1585497,4085798
1585497,2031978
1585749,7308706
1585749,2411147
1585749,9959132
1585749,2459162
1585749,8411901
1585749,10494239
1585749,8111315
1585749,7591126
1585749,7590911
704701,704811
704701,704713
704701,5757022
704701,8911588
704701,2411119
704701,9779532
704701,4835619
1585559,6601628
1585559,7459482
1585559,4835667
1585559,4835358
1585559,7308450
1585559,7308179
1585559,7308226
1585559,11091077
1585559,8911588
1585559,6877473
1585559,3259014
1585559,301128
5110011,1592279
5110011,10494058
5110011,5954661
5110011,10275149
5110011,116520
5110011,939598
5110011,3121632
1585218,7308450
1585218,4510296
1585218,5476508
1585218,10428190
1585218,8428641
1585218,3048713
1585218,4294808
1585218,1824458
1585615,7187150
1585615,1764521
1585615,10817573
1585615,7263743
1585615,5476525
1585615,5476710
1585615,2316945
1585615,5476542
1585615,7578179
1585615,2977216
1585615,9914437
1585615,2634016
1585615,5476711
1585615,7308348
1585615,7308326
1585615,6594508
1585615,9860141
1585615,9108358
1826347,7308252
1826347,704647
1826347,7644889
1826347,4835254
1826347,5632602
1826347,6105515
1826347,6601628
1826347,10559091
1826347,8712382
1826347,8942898
1826347,6186434
1826347,2947327
1826347,2317615
1584999,822350
1584999,7187150
1584999,7308417
1584999,5877936
1584999,1541991
1584999,7324670
1584999,1541916
1584999,7644889
1584999,7325050
1584999,5476650
1584999,301154
1584999,2435213
1584999,5633080
1584999,10494095
1584999,849407
1584999,5476468
1584999,5476587
1584999,2411309
1584999,10559734
1584999,6814631
1584999,3493785
989422,9779329
989422,8411998
989422,10100913
989422,7308706
989422,7308611
989422,7308226
989422,7308637
989422,7308678
989422,7308326
989422,5476542
989422,7308662
989422,2633905
989422,5250510
989422,7308517
989422,118492
989422,118403
7411733,6601628
7411733,5011675
7411733,4884069
7411733,2827115
7411733,4850065
7411733,8980123
7411733,7325051
7411733,7090172
7411733,10768802
7411733,7324598
7411733,2977105
7411733,8815552
5109832,7308678
5109832,7308590
5109832,6835449
5109832,6716136
5109832,7308706
5109832,7308406
4318967,9959200
4318967,7308637
4318967,5476587
4318967,7308179
4318967,5476468
4318967,7308517
4318967,7308348
4318967,10817584
4318967,7308326
4318967,2317491
4318967,10423587
4318967,9446820
4318967,7187150
4318967,7308226
1819191,7308209
1819191,10494402
1819191,9129763
1819191,4213089
1819191,799306
1819191,314123
1819191,3640660
1819191,11642
1819191,8604709
1819191,1256853
1819191,5351315
2014273,8911624
2014273,8134572
2014273,8134228
2014273,8134627
2014273,8619079
2014273,8911267
2014273,2447925
2014273,11240241
2014273,2526898
1585570,6111562
1585570,3692731
2294114,8872130
2294114,7909639
2294114,8872303
2294114,9146478
2294114,8031787
2294114,6105515
2294114,10595753
2294114,5633080
2294114,8127230
2294114,7515197
2294114,4294396
2294114,10817584
2294114,7324831
2294114,1457444
2294114,7108832
2294114,1921676
2294114,10320156
2294114,9076443
2294114,10237960
2014362,7308276
2014362,10559091
2014362,7308506
2014362,4614645
2014362,10765132
2014362,790405
2014362,10036834
2014362,7187150
2014362,3962806
2014362,3960047
2014362,2341038
2014362,4294634
2014362,2316993
2014362,4682744
2014362,8134481
2014362,7308406
2014362,9001066
2014362,6782506
2014362,4803768
2014362,11227399
2014362,6856672
2014362,7515193
2014362,988944
2014362,314371
2014362,5476525
1585259,6602226
1585259,7187150
1585259,7187144
1585259,7308179
1585259,7308637
1585259,7308611
1585259,7308678
1585259,7308326
1585259,7308517
1585259,3754772
1585259,10817675
1585259,8287045
1585259,5476713
1585259,6591774
1585259,8411998
1074951,8050536
1074951,223366
1074951,4665775
1074951,129351
1074951,5777137
1074951,5476587
1074951,2953116
1074951,8691059
1074951,7748003
1074951,12790
1074951,4906899
1074951,5777437
1074951,8412040
8170094,6601628
8170094,5777004
8170094,3550245
8170094,6602226
8170094,10818099
8170094,9779164
8170094,7325051
8170094,8647815
8170094,8872290
8170094,11246546
8170094,8532323
8170094,5476711
8170094,9320605
334239,1938386
334239,3272008
334239,9183387
334239,1859653
334239,1444340
334239,1257440
334239,8203210
334239,8203282
334239,1938897
334239,7066904
